code,name,level
CI005001.WI,石油石化(中信),1
CI005002.WI,煤炭(中信),1
CI005003.WI,有色金属(中信),1
CI005004.WI,电力及公用事业(中信),1
CI005005.WI,钢铁(中信),1
CI005006.WI,基础化工(中信),1
CI005007.WI,建筑(中信),1
CI005008.WI,建材(中信),1
CI005009.WI,轻工制造(中信),1
CI005010.WI,机械(中信),1
CI005011.WI,电力设备(中信),1
CI005012.WI,国防军工(中信),1
CI005013.WI,汽车(中信),1
CI005014.WI,商贸零售(中信),1
CI005015.WI,餐饮旅游(中信),1
CI005016.WI,家电(中信),1
CI005017.WI,纺织服装(中信),1
CI005018.WI,医药(中信),1
CI005019.WI,食品饮料(中信),1
CI005020.WI,农林牧渔(中信),1
CI005021.WI,银行(中信),1
CI005022.WI,非银行金融(中信),1
CI005023.WI,房地产(中信),1
CI005024.WI,交通运输(中信),1
CI005025.WI,电子元器件(中信),1
CI005026.WI,通信(中信),1
CI005027.WI,计算机(中信),1
CI005028.WI,传媒(中信),1
CI005029.WI,综合(中信),1
CI005101.WI,石油开采Ⅱ(中信),2
CI005102.WI,石油化工(中信),2
CI005103.WI,油田服务Ⅱ(中信),2
CI005104.WI,煤炭开采洗选(中信),2
CI005105.WI,煤炭化工(中信),2
CI005106.WI,贵金属(中信),2
CI005107.WI,工业金属(中信),2
CI005108.WI,稀有金属Ⅱ(中信),2
CI005109.WI,发电及电网(中信),2
CI005110.WI,环保及公用事业(中信),2
CI005111.WI,普钢(中信),2
CI005112.WI,其他钢铁(中信),2
CI005113.WI,农用化工(中信),2
CI005114.WI,合成纤维及树脂(中信),2
CI005115.WI,化学原料(中信),2
CI005116.WI,化学制品(中信),2
CI005117.WI,建筑施工Ⅱ(中信),2
CI005118.WI,建筑装修Ⅱ(中信),2
CI005119.WI,水泥Ⅱ(中信),2
CI005120.WI,玻璃Ⅱ(中信),2
CI005121.WI,其他建材(中信),2
CI005122.WI,造纸Ⅱ(中信),2
CI005123.WI,其他轻工Ⅱ(中信),2
CI005124.WI,工程机械Ⅱ(中信),2
CI005125.WI,其他专用设备(中信),2
CI005126.WI,通用设备(中信),2
CI005127.WI,运输设备(中信),2
CI005128.WI,仪器仪表Ⅱ(中信),2
CI005129.WI,金属制品Ⅱ(中信),2
CI005130.WI,电站设备Ⅱ(中信),2
CI005131.WI,输变电设备(中信),2
CI005132.WI,新能源设备(中信),2
CI005133.WI,航空航天(中信),2
CI005134.WI,兵器兵装Ⅱ(中信),2
CI005135.WI,其他军工Ⅱ(中信),2
CI005136.WI,乘用车Ⅱ(中信),2
CI005137.WI,商用车(中信),2
CI005138.WI,汽车零部件Ⅱ(中信),2
CI005139.WI,汽车销售及服务Ⅱ(中信),2
CI005140.WI,摩托车及其他Ⅱ(中信),2
CI005141.WI,零售(中信),2
CI005142.WI,贸易Ⅱ(中信),2
CI005143.WI,景区和旅行社(中信),2
CI005144.WI,酒店及餐饮(中信),2
CI005145.WI,白色家电Ⅱ(中信),2
CI005146.WI,黑色家电Ⅱ(中信),2
CI005147.WI,小家电Ⅱ(中信),2
CI005148.WI,照明设备及其他(中信),2
CI005152.WI,化学制药(中信),2
CI005153.WI,中药生产(中信),2
CI005154.WI,生物医药Ⅱ(中信),2
CI005155.WI,其他医药医疗(中信),2
CI005156.WI,白酒Ⅱ(中信),2
CI005157.WI,其他饮料Ⅱ(中信),2
CI005158.WI,食品(中信),2
CI005159.WI,农业(中信),2
CI005160.WI,牧业(中信),2
CI005161.WI,林业(中信),2
CI005162.WI,渔业(中信),2
CI005163.WI,国有银行Ⅱ(中信),2
